,hero1,hero2
3986,FANDRAL [ASGARDIAN],BALDER [ASGARDIAN]
3987,"LEEDS, BETTY BRANT",BIG MAN/FREDERICK FO
3988,BALDER [ASGARDIAN],SIF
3989,SASQUATCH/WALTER LAN,IRONCLAD
3990,PATRIOT/JEFF MACE,PATRIOT/JEFF MACE
3991,ANANASTASIA/ANNA,"BLOODVESSEL, BUSTA"
3992,"TANAKA, KENJIRO",CROSSBONES/BROCK BIN
3993,THUNDERBALL/DR. ELIO,HEIMDALL [ASGARDIAN]
3994,USAGENT/CAPTAIN JOHN,IRON MAN/TONY STARK 
3995,PARIS,CYCLOPS/SCOTT SUMMER
3996,THORNN,"SCRATCH, NICHOLAS"
3997,CAPTAIN AMERICA,ZARAN/MAXIMILLIAN ZA
3998,"MERRYWEATHER, IRENE","SUMMERS, NATHAN CHRI"
3999,HESCAMAR/MARNOT [ASG,"KINCAID, DR. JANE FO"
4000,IRON MAN/TONY STARK ,VOLLA
4001,HAWK,BLACK KNIGHT V DOPPE
4002,"SMITH, SIR DENIS NAY","RESTON, CLIVE"
4003,"ROSENTHAL, BERNIE","FARREL, MIKE"
4004,PENANCE/MONET ST. CR,VINCENTE/
4005,PATRIOT/JEFF MACE,PATRIOT/JEFF MACE
4006,CAPTAIN AMERICA,CLEA
4007,FORGE,HAWKSHAW
4008,BLOB/FRED J. DUKES,"SUMMERS, NATHAN CHRI"
4009,"URICH, BEN","CUSHING, KATE"
4010,TYGERSTRYKE/,RICTOR/JULIO ESTEBAN
4011,CLEA,DR. STRANGE/STEPHEN 
4012,"PARKER, MAY","WATSON-PARKER, MARY "
4013,"FURY, COL. NICHOLAS ",INVISIBLE WOMAN/SUE 
4014,STALLIOR,THING/BENJAMIN J. GR
4015,PIP/PRINCE GOFERN,SUB-MARINER/NAMOR MA
4016,PIP/PRINCE GOFERN,"BLESSING, MORGANA"
4017,"DREYFUSS, RACHEL",JUSTICE II/VANCE AST
4018,WIND-WARRIOR/PAMELA ,SILVER SABLE
4019,GAMBIT/REMY LEBEAU ,"LEBEAU, JEAN-LUC"
4020,THING/BENJAMIN J. GR,LETHA
4021,CYCLOPS/SCOTT SUMMER,PYRO/ALLERDYCE JOHNN
4022,BULLDOZER/HENRY CAMP,SPIDER-MAN/PETER PAR
4023,"HUNTER, STEVIE",ROGUE /
4024,"HUDSON, HEATHER",BLACK KNIGHT V/DANE 
4025,BEAST/HENRY &HANK& P,MR. FANTASTIC/REED R
4026,FALCON/SAM WILSON,HAWK
4027,JUSTICE II/VANCE AST,NOVA/RICHARD RIDER
4028,"CHALIZ, SHANAZ RAYNA",JACK O'LANTERN II/MA
4029,"CAGE, LUKE/CARL LUCA","HOGARTH, JERYN"
4030,STORM/ORORO MUNROE S,"PIERCE, DONALD"
4031,WAR/ABRAHAM LINCOLN ,MARVEL GIRL/JEAN GRE
4032,NARDI,"MACINTOSH, ANN"
4033,BALDER [ASGARDIAN],LOKI [ASGARDIAN]
4034,KLAW/ULYSSES KLAW,SHOCKWAVE/LANCASTER 
4035,HAFNIUM,DAREDEVIL/MATT MURDO
4036,CAPTAIN BRITAIN/BRIA,NIGHTCRAWLER/KURT WA
4037,"HUNT, JERRY",BROTHERS GRIMM
4038,NITRO/ROBERT L. HUNT,ATTRACTIVE LAD/AUNDR
4039,MURMUR II/ARLETTE TR,GENTRY
4040,KLAW/ULYSSES KLAW,MR. FANTASTIC/REED R
4041,"SATURNYNE, OPAL LUNA","WISDOM, PETER"
4042,CASSIOPEIA,PROMETHEUS II
4043,FIZ [SKRULL],POLARIS/LORNA DANE
4044,CAPTAIN MARVEL III/G,SUPER SKRULL/KL'RT
4045,"SOUTHERN, CANDY",KA-ZAR/KEVIN PLUNDER
4046,BEAST/HENRY &HANK& P,HUSK/PAIGE GUTHRIE
4047,WASP/JANET VAN DYNE ,DARKSTAR/LAYNIA SERG
4048,THUNDERSTRIKE/ERIC K,PIP/PRINCE GOFERN
4049,"JARVIS, EDWIN ","CHANEY, AMANDA"
4050,ARGOS,THUNDERBIRD II/JAMES
4051,"WATSON-PARKER, MARY ","OSBORN, NORMIE"
4052,"POWELL, GRACE","FIELSTEIN, FIREWORKS"
4053,"BROWN, MINDY MCPHERS",ARRANGER/
4054,CAPTAIN AMERICA,SILVERCLAW/LA GARRA 
4055,REDWING,FALCON/SAM WILSON
4056,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
4057,"CHADWICK, CHEER","TAUREY, WILLIAM MALC"
4058,SUB-MARINER/NAMOR MA,"HUDSON, HEATHER"
4059,MONDO II,MISTY/VINCENTE
4060,"BANNER, BETTY ROSS T",DOC SAMSON/DR. LEONA
4061,CALIFORNIUM,CRIMSON COWL II/
4062,WOLVERINE/LOGAN ,"ANDERSON, CHIEF MAGI"
4063,TAROT/MARIE-ANGE COL,"BALDWIN, MADELYNE MA"
4064,POLARIS/LORNA DANE,CYCLOPS/SCOTT SUMMER
4065,PIP/PRINCE GOFERN,VISION 
4066,POLARIS/LORNA DANE,LEGION II/DAVID HALL
4067,THING/BENJAMIN J. GR,CYCLOPS/SCOTT SUMMER
4068,NIGHTCRAWLER/KURT WA,PROFESSOR X/CHARLES 
4069,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
4070,DR. OCTOPUS/OTTO OCT,"MERCADO, JOY"
4071,MOONSTALKER/KIANA,DAYDREAMER/CATHERINE
4072,"NELSON, FRANKLIN FOG",HUMAN TORCH ANDROID/
4073,NOVA/RICHARD RIDER,COUNTERWEIGHT II/KAT
4074,CAPTAIN AMERICA,QUASAR III/WENDELL V
4075,HYDROMAN/MORRIE BENC,"DENNIS, MARTY"
4076,AMPHIBIUS,LINAK
4077,MISS AMERICA/MADELIN,PATRIOT/JEFF MACE
4078,BISHOP /,ANGEL/WARREN KENNETH
4079,"URICH, BEN","JAMESON, J. JONAH"
4080,DEATH,SCARLET WITCH/WANDA 
4081,"STACY, NANCY",SPIDER-MAN/PETER PAR
4082,STORM/ORORO MUNROE S,RAZA LONGKNIFE
4083,STORM/ORORO MUNROE S,"REYES, DR. CECELIA"
4084,VIBRAXAS/N'KANO,GHAUR [DEVIANT]
4085,THUNDERSTRIKE/ERIC K,BLACK WIDOW/NATASHA 
4086,CHARCOAL/CHARLIE BUR,THERAK
4087,ODIN [ASGARDIAN],VIZIER
4088,COLOSSUS II/PETER RA,SUNSPOT/ROBERTO DACO
4089,FOREIGNER/RAFAEL BAS,IRON FIST H'YLTHRI I
4090,WASP/JANET VAN DYNE ,"MURDOCK, MATT | TIME"
4091,CYCLOPS/SCOTT SUMMER,CAT MAN/HORGAN
4092,SKIN/ANGELO ESPINOSA,WHITE QUEEN/EMMA FRO
4093,HOGUN [ASGARDIAN],STORM/ORORO MUNROE S
4094,WASP/JANET VAN DYNE ,GORGON [INHUMAN]
4095,"WATSON-PARKER, MARY ","MERCADO, JOY"
4096,IRON MAN/TONY STARK ,"SOUTHERN, CANDY"
4097,"ROSS, GEN. THADDEUS ",DR. STRANGE/STEPHEN 
4098,FIREFALL III/ARCHIE ,"ROM, SPACEKNIGHT"
4099,VILIVEN,S'YM
4100,TARANTULA/ANTON MIGU,"OSBORN, HARRY"
4101,WOLFSBANE/RAHNE SINC,"SANDOVAL, JULIANA"
4102,MARVEL GIRL/JEAN GRE,ICEMAN/ROBERT BOBBY 
4103,SCARLET WITCH/WANDA ,"ADAMS, NICOLE NIKKI"
4104,NIGHTCRAWLER/KURT WA,SIRYN/THERESA ROURKE
4105,BLACK PANTHER/T'CHAL,STARFOX/EROS
4106,CYLLA II,"TSURAYABA, MATSUO"
4107,PROFESSOR X/CHARLES ,POLARIS/LORNA DANE
4108,SENTRY III,INGOT/
4109,SCARLET WITCH/WANDA ,REDWING
4110,ONSLAUGHT II,BLACK BOLT/BLACKANTO
4111,LIVEWIRE/RANCE PREST,"URICH, BEN"
4112,SCREAMING MIMI/MELIS,MOONSTONE II/KARLA S
4113,GALACTUS/GALAN,SPIDER-MAN/PETER PAR
4114,NIGHTCRAWLER/KURT WA,DESTINY II/IRENE ADL
4115,HUMAN TORCH/JOHNNY S,INVISIBLE WOMAN/SUE 
4116,LOCKJAW [INHUMAN],POLARIS/LORNA DANE
4117,SUB-MARINER/NAMOR MA,"FAIRMONT, HANNAH"
4118,"FURY, COL. NICHOLAS ",FALCON/SAM WILSON
4119,FIXER II/PAUL NORBER,MENTALLO
4120,"JONES, CHARLOTTE","KELLY, SEN. ROBERT E"
4121,"NELSON, CANDACE","DUGAN, TIMOTHY ALOYI"
4122,"HARRIGAN, CHESTER CH",IRON MAN/TONY STARK 
4123,SILVERCLAW/LA GARRA ,YELLOWJACKET III/HEN
4124,BEYONDER,VOLCANA/MARSHA ROSEN
4125,PROFESSOR X/CHARLES ,BLOB/FRED J. DUKES
4126,HAWK,VISION 
4127,PSYLOCKE/ELISABETH B,STORM/ORORO MUNROE S
4128,HULK/DR. ROBERT BRUC,BEREET
4129,CYPHER/DOUG RAMSEY,"ST. HUBBINS, SARI"
4130,HITMAN/LT. BURT KENY,"THOMPSON, EUGENE FLA"
4131,"WOLFE, MR.","BLISS, MISS"
4132,PISCES/NOAH PERRICON,"JONES, GABE"
4133,PUCK/EUGENE MILTON J,"HIGGINS, SAMUEL"
4134,MARVEL GIRL/JEAN GRE,HIGH EVOLUTIONARY/HE
4135,PROFESSOR X/CHARLES ,EARTHQUAKE
4136,"DRAN, DAMON","SANADA, KONO"
4137,"JARVIS, EDWIN ",WONDER MAN/SIMON WIL
4138,"ROBERTSON, RANDY","OSBORN, HARRY"
4139,TRIATHLON/DELROY GAR,"RANSOME, JENNIFER AM"
4140,ODIN [ASGARDIAN],SUB-MARINER/NAMOR MA
4141,HARVEST/CHI LO,HILDEGARDE [ASGARDIA
4142,HULK/DR. ROBERT BRUC,"JONES, RICHARD MILHO"
4143,"NORRISS, SISTER BARB",SCARLET WITCH/WANDA 
4144,BLACK KNIGHT V/DANE ,"RAMBEAU, FRANK"
4145,"RIGOLETTO, DON DANTE","ROBERTSON, MARTHA"
4146,"PARKER, MAY | TIMESL","STARK, HOWARD | TIME"
4147,ANGEL/WARREN KENNETH,ANT-MAN/DR. HENRY J.
4148,"MUNROE, DAVID",PHOENIX II
4149,SYNCH/EVERETT THOMAS,PENANCE/MONET ST. CR
4150,PUCK/EUGENE MILTON J,WILD CHILD/KYLE GIBN
4151,"FORRESTER, CAPT. ALE",MAGNETO/MAGNUS/ERIC 
4152,"CABE, BETHANY",IRON MAN/TONY STARK 
4153,SPROCKET,CUT
4154,SUB-MARINER/NAMOR MA,DAGGER/TANDY BOWEN
4155,CONTROLLER/BASIL SAN,SCARLET WITCH/WANDA 
4156,FIELDSTONE/,HOOPSNAKE/
4157,FIREFIST/RUSTY COLLI,WOLFSBANE/RAHNE SINC
4158,MOONSTONE II/KARLA S,"BRIDGE, GEORGE WASHI"
4159,THOR/DR. DONALD BLAK,HAWK
4160,FANDRAL [ASGARDIAN],HEIMDALL [ASGARDIAN]
4161,WOLVERINE/LOGAN ,POLARIS/LORNA DANE
4162,ATTUMA,RED SKULL/JOHANN SCH
4163,WONDER MAN/SIMON WIL,WASP/JANET VAN DYNE 
4164,MEDUSA/MEDUSALITH AM,ROOTAR
4165,VISION ,"FURY, COL. NICHOLAS "
4166,DOC SAMSON/DR. LEONA,HULK/DR. ROBERT BRUC
4167,"DE LA FONTAINE, CONT","DUGAN, TIMOTHY ALOYI"
4168,WONDER MAN/SIMON WIL,BLACK GOLIATH/DR. WI
4169,"COFFIN, WARDEN JOHNS",WHITE QUEEN/EMMA FRO
4170,RED GUARDIAN V,VANGUARD/NICOLAI KRY
4171,HUMAN TORCH/JOHNNY S,"JONES, RICARDO"
4172,STARFOX/EROS,STARSHINE II/BRANDY 
4173,"NORRISS, JACK",CLEA
4174,SELENE,DOMINO III/BEATRICE/
4175,LYJA LAZERFIST [SKRU,MR. FANTASTIC/REED R
4176,VISION ,IRON MAN/TONY STARK 
4177,GOBLYN,DR. DRUID/ANTHONY LU
4178,NIGHTCRAWLER/KURT WA,CYCLOPS/SCOTT SUMMER
4179,"WATSON-PARKER, MARY ",SPIDER-MAN/PETER PAR
4180,"KOENIG, ERIC","RUNCITER, GAIL"
4181,FIRESTAR/ANGELICA JO,LEFT HAND/DIEGO CASS
4182,MR. FANTASTIC/REED R,NIGHTSIDE
4183,AGINAR,"DAMIAN, MARGO"
4184,MAGMA/AMARA AQUILLA/,SHADOWCAT/KATHERINE 
4185,COLOSSUS II/PETER RA,NIGHTCRAWLER/KURT WA
4186,KARNILLA [ASGARDIAN],SIF
4187,DRAGONFLY/VERONICA D,DANSEN MACABRE
4188,TESS-ONE,MACHINE MAN/X-51
4189,"WALTERS, BILLY",SPIDER-MAN/PETER PAR
4190,BLACK KNIGHT V STATU,BEAST/HENRY &HANK& P
4191,RAZA LONGKNIFE,CYCLOPS/SCOTT SUMMER
4192,BATTLEAXE/,HERCULES [GREEK GOD]
4193,IRON MAN/TONY STARK ,THINKER
4194,"JAMESON, J. JONAH","RANSOME, DR. SUSAN"
4195,FALCON/SAM WILSON,"CARTER, SHARON"
4196,"JONES, MAGGIE","BENJAMIN, BYRON"
4197,WONDER MAN/SIMON WIL,"QUARTERMAIN, CLAY"
4198,CAPTAIN AMERICA,SHE-HULK/JENNIFER WA
4199,MOCKINGBIRD/DR. BARB,SCARLET WITCH/WANDA 
4200,PROTOCIDE/PRIVATE CL,"FURY, COL. NICHOLAS "
4201,BLACK CAT/FELICIA HA,KINGPIN/WILSON FISK
4202,BRUTO THE STRONGMAN/,DEVIL DINOSAUR
4203,"JARVIS, EDWIN ",SERSI/SYLVIA
4204,SASQUATCH/WALTER LAN,DARKSTAR/LAYNIA SERG
4205,"DAMIAN, MARGO",AHQLAU
4206,CAPTAIN AMERICA,WASP/JANET VAN DYNE 
4207,MASTER FOUR,M'SHULLA
4208,ANGEL/WARREN KENNETH,LEGION II/DAVID HALL
4209,MYSTERIO II/DANIEL B,DAREDEVIL/MATT MURDO
4210,ARCLIGHT/PHILLIPA SO,N'ASTIRH
4211,"NORRISS, SISTER BARB",CLEA
4212,THING/BENJAMIN J. GR,ICEMAN/ROBERT BOBBY 
4213,STORM/ORORO MUNROE S,COLOSSUS II/PETER RA
4214,INVISIBLE WOMAN/SUE ,NOVA/RICHARD RIDER
4215,"ACHEBE, REVEREND DOC",BLACK PANTHER/T'CHAL
4216,FIRELORD/PYREUS KRIL,WASP/JANET VAN DYNE 
4217,"HITCHUCK, KELLY",FIRESTAR/ANGELICA JO
4218,MAGMA/AMARA AQUILLA/,"FORRESTER, CAPT. ALE"
4219,WOLVERINE/LOGAN ,DR. DRUID/ANTHONY LU
4220,MEGGAN,LOCKHEED
4221,THUNDERBIRD II/JAMES,SUNSPOT/ROBERTO DACO
4222,"FURY, COL. NICHOLAS ",BINARY/CAROL DANVERS
4223,CAPTAIN AMERICA,TIGRA/GREER NELSON
4224,HOBGOBLIN V/JASON PH,"FISK, VANESSA"
4225,SWORDSMAN/JACQUES DU,MANTIS/? BRANDT
4226,QUICKSILVER/PIETRO M,POLARIS/LORNA DANE
4227,HYPERION II,TERRAX II/TYROS
4228,QUICKSILVER/PIETRO M,ANT-MAN/DR. HENRY J.
4229,DR. STRANGE/STEPHEN ,IRON MAN/TONY STARK 
4230,SHAKATI,TEMPEST/GRANNZ
4231,CAPTAIN AMERICA,WONDER MAN/SIMON WIL
4232,NEBULON,NIGHTHAWK II/KYLE RI
4233,DEVASTATOR II/GREGOR,"ROM, SPACEKNIGHT"
4234,HIGH EVOLUTIONARY/HE,"PLUNDER, ADAM KYLE M"
4235,"CAESAR, JONATHAN","MERCADO, JOY"
4236,HULK/DR. ROBERT BRUC,"LEOPOLD, ARCHER"
4237,BLACK PANTHER/T'CHAL,SUNTURION/ARTHUR DEA
4238,ABOMINATION/EMIL BLO,SCARLET WITCH/WANDA 
4239,BLACK PANTHER/T'CHAL,THOR/DR. DONALD BLAK
4240,"NELSON, FRANKLIN FOG",KINGPIN/WILSON FISK
4241,"HARKNESS, AGATHA",VISION 
4242,COTTONMOUTH II,CAPTAIN AMERICA
4243,ZERO,MIRAGE II/DANIELLE M
4244,DELPHI,IRON FIST/DANIEL RAN
4245,BOOMER/TABITHA SMITH,MASQUE
4246,SIF,"RUIZ, RIGGER"
4247,BLACK KNIGHT V/DANE ,HAWK
4248,PSYLOCKE/ELISABETH B,"MACTAGGERT, MOIRA KI"
4249,WHITE QUEEN/EMMA FRO,CANNONBALL II/SAM GU
4250,HOGUN [ASGARDIAN],VOLSTAGG
4251,WARLOCK III,KARMA/XI'AN COY MANH
4252,LEADER/SAM STERNS,VASHTI
4253,"JAMESON, MARLA MADIS","KATZENBERG, NICK"
4254,FANDRAL [ASGARDIAN],"BLAKE, DR. DONALD (C"
4255,BALDER [ASGARDIAN],ODIN [ASGARDIAN]
4256,IRON MAN/TONY STARK ,DULB
4257,HUMAN TORCH/JOHNNY S,PERSEPHONE
4258,WASP/JANET VAN DYNE ,ANT-MAN/DR. HENRY J.
4259,MYSTERIO/QUENTIN BEC,BLACK CAT/FELICIA HA
4260,CITIZEN V II/HELMUT ,BULLDOZER/HENRY CAMP
4261,BINARY/CAROL DANVERS,"HOGAN, VIRGINIA PEPP"
4262,"PROVENZANO, PAULIE",WOLVERINE/LOGAN 
4263,CYCLOPS DOPPELGANGER,THING/BENJAMIN J. GR
4264,JOLT/HALLIE TAKAHAMA,GROWING MAN
4265,"ARCHER, ULYSSES SAMS",SHE-HULK/JENNIFER WA
4266,"NORRISS, SISTER BARB","MASTERS, DR. AUGUST"
4267,CATHODE/,PALADIN/PAUL DENNIS
4268,HARMONY,CYCLOPS II
4269,USAGENT/CAPTAIN JOHN,FIZGIG/
4270,SHADOW KING/AMAHL FA,LADY DEATHSTRIKE/YUR
4271,ICEMAN/ROBERT BOBBY ,SUNFIRE/SHIRO YOSHID
4272,CYCLOPS/SCOTT SUMMER,FATH
4273,FOREARM,"HUNTER, STEVIE"
4274,STRONG GUY/GUIDO CAR,WOLVERINE/LOGAN 
4275,TONGAH,SEESHA
4276,BALDER [ASGARDIAN],LOGA II
4277,CALLISTO,STORM/ORORO MUNROE S
4278,THOR/DR. DONALD BLAK,HYPERION
4279,JOYBOY,SHE-HULK/JENNIFER WA
4280,ROGUE /,DAZZLER II/ALLISON B
4281,SERSI/SYLVIA,VOLSTAGG
4282,STORM/ORORO MUNROE S,DESTINY II/IRENE ADL
4283,MARVEL GIRL/JEAN GRE,MAGNETO/MAGNUS/ERIC 
4284,CRYSTAL [INHUMAN],BOVA
4285,SAGITTARIUS/HARLAN V,TAURUS/CORNELIUS VAN
4286,GLORIAN/THOMAS GIDEO,DRAGON MAN
4287,HERCULES DOPPELGANGE,DOPPELGANGER
4288,INVISIBLE WOMAN/SUE ,THUNDERSTRIKE/ERIC K
4289,HUMAN TORCH ANDROID/,PATRIOT/JEFF MACE
4290,THOR/DR. DONALD BLAK,QUASAR III/WENDELL V
4291,"JAMESON, J. JONAH",WONDER MAN/SIMON WIL
4292,THING/BENJAMIN J. GR,GORGON [INHUMAN]
4293,LOKI [ASGARDIAN],CLARISSA
4294,"MASTERS, ALICIA REIS","RICHARDS, FRANKLIN B"
4295,"NORRISS, JACK",HULK/DR. ROBERT BRUC
4296,FIREBRAND/GARY GILBE,"CENTURY, TURNER D."
4297,"VOGHT, AMELIA","CAGE, LUKE/CARL LUCA"
4298,CLEA,YANDROTH
4299,WOLFSBANE/RAHNE SINC,CAPTAIN MARVEL II/MO
4300,BEAST/HENRY &HANK& P,MARVEL GIRL/JEAN GRE
4301,ARKON,WASP/JANET VAN DYNE 
4302,NIGHTHAWK II/KYLE RI,NIGHTCRAWLER/KURT WA
4303,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH
4304,THING/BENJAMIN J. GR,COLOSSUS II/PETER RA
4305,"SLOAN, FRED","QUARTERMAIN, CLAY"
4306,TIGRA/GREER NELSON,VISION 
4307,WOLFSBANE/RAHNE SINC,MIRAGE II/DANIELLE M
4308,EMPATH/MANUEL ALFONS,MAGNETO/MAGNUS/ERIC 
4309,NIGHT THRASHER/DUANE,SPEEDBALL/ROBBIE BAL
4310,IRON MAN/TONY STARK ,JOCASTA
4311,GAMMENON [CELESTIAL],AJAK/TECUMOTZIN [ETE
4312,"TAYLOR, LEILA","MULDOON, SGT. BRIAN"
4313,CANNONBALL II/SAM GU,WOLFSBANE/RAHNE SINC
4314,"DANVERS, MRS. JOE",SAPPER
4315,USAGENT DOPPELGANGER,NOVA/RICHARD RIDER
4316,MIDNIGHT/M'NAI,LIBRA/GUSTAV BRANDT
4317,LOCKHEED,"GREY, DR. JOHN"
4318,STORM/ORORO MUNROE S,HULK DOPPELGANGER
4319,KARGUL,KOSHIMA
4320,"DUGAN, TIMOTHY ALOYI",DREADNAUGHT
4321,CANNONBALL II/SAM GU,BOOMER/TABITHA SMITH
4322,IRON FIST/DANIEL RAN,TIGRA/GREER NELSON
4323,BLOODWRAITH/SEAN DOL,SCARLET WITCH/WANDA 
4324,CAPTAIN AMERICA,IKARIS/IKE HARRIS [E
4325,BLOODSTORM | MUTANT ,ELEKTRA | MUTANT X-V
4326,FANDRAL [ASGARDIAN],MALEKITH/MALCOLM KEI
4327,ETERNITY/ADAM QADMON,KRONOS
4328,HAROKIN [ASGARDIAN],VISION 
4329,STARFOX/EROS,CAPTAIN AMERICA
4330,"GRIFFITH, D.W.",BLACK WIDOW/NATASHA 
4331,SHE-HULK/JENNIFER WA,MOONHUNTER/ZACK MOON
4332,WOLVERINE/LOGAN ,ANGEL/WARREN KENNETH
4333,SMUGGLER II/CONRAD J,BEETLE II/LEILA DAVI
4334,WONDER MAN/SIMON WIL,VISION 
4335,OTHER,BOVA
4336,FIREBIRD/BONITA JUAR,KARMA/XI'AN COY MANH
4337,LEECH,MARVEL GIRL/JEAN GRE
4338,"JONES, RICHARD MILHO",RAVONNA LEXUS RENSLA
4339,THOR/DR. DONALD BLAK,VISION 
4340,WASP/JANET VAN DYNE ,VISION 
4341,BLOB/FRED J. DUKES,TASKMASTER
4342,ICEMAN/ROBERT BOBBY ,STORM/ORORO MUNROE S
4343,FOREARM,BOOMER/TABITHA SMITH
4344,VISION ,HAWK
4345,MARVEL GIRL/JEAN GRE,SPIDER-MAN/PETER PAR
4346,"CONNORS, BILLY",LIZARD/DR. CURTIS CO
4347,ODIN [ASGARDIAN],"JACKSON, ANDREW JOCK"
4348,BALDER [ASGARDIAN],ULIK
4349,DIAMOND LIL/LILLIAN ,AURORA/JEANNE-MARIE 
4350,RADIUS/JARED CORBO,SASQUATCH/WALTER LAN
4351,"NITAL, DR.",THOR/DR. DONALD BLAK
4352,"DARE, KATHLEEN",IRON MAN/TONY STARK 
4353,SPIDER-MAN CLONE/BEN,"JAMESON, J. JONAH"
4354,"KINGMAN, BILL",SCREAMING MIMI/MELIS
4355,MOON KNIGHT/MARC SPE,HULK/DR. ROBERT BRUC
4356,LOCKHEED,SUNSPOT/ROBERTO DACO
4357,DAGGER/TANDY BOWEN,"ROBERTSON, AMANDA"
4358,CAPTAIN AMERICA,SUB-MARINER/NAMOR MA
4359,LOCKJAW [INHUMAN],RAGE/ELVIN DARYL HAL
4360,BOVA,HUMAN TORCH ANDROID/
4361,FERAL/MARIA CALLASAN,THUNDERBIRD II/JAMES
4362,GAMBIT/REMY LEBEAU ,"LEBEAU, JEAN-LUC"
4363,"TALBOT, GLENN","HONDA, DR."
4364,"WATSON, ANNA","OSBORN, HARRY"
4365,KLAW/ULYSSES KLAW,IRON MAN IV/JAMES R.
4366,MARVEL GIRL/JEAN GRE,MOJO
4367,"OSBORN, NORMIE",MOLTEN MAN/MARK RAXT
4368,MR. SINISTER/NATHAN ,"COOPER, DR. VALERIE"
4369,"ROSENTHAL, BERNIE",MOCKINGBIRD/DR. BARB
4370,IRON MAN/TONY STARK ,HELLCAT/PATSY WALKER
4371,USAGENT/CAPTAIN JOHN,SCOURGE II/
4372,GUARDIAN V/JAMES MAC,"HUDSON, HEATHER"
4373,HAWK,NIGHTCRAWLER/KURT WA
4374,RANDOM,"RAYMOND, ANN"
4375,REAPER,BUCKY/BUCKY BARNES
4376,UNUS THE UNTOUCHABLE,SENTINELS
4377,THANOS,SASQUATCH/WALTER LAN
4378,CYPHER/DOUG RAMSEY,PSIMON
4379,CITIZEN V III/DALLAS,MOONSTONE II/KARLA S
4380,GHOST RIDER II/JOHNN,DARKSTAR/LAYNIA SERG
4381,BLAQUESMITH,AENTAROS
4382,DR. STRANGE/STEPHEN ,"JAMESON, J. JONAH"
4383,"LEWIS, SHIRLEY WASHI",MYSTERIO/QUENTIN BEC
4384,DR. SPECTRUM II/DR. ,WASP/JANET VAN DYNE 
4385,SCARLET WITCH/WANDA ,QUICKSILVER/PIETRO M
4386,CAPTAIN AMERICA,BEAST/HENRY &HANK& P
4387,LIZARD/DR. CURTIS CO,CYCLOPS/SCOTT SUMMER
4388,"JAMESON, J. JONAH",GHAUR [DEVIANT]
4389,HOPE,CHI-CHEE
4390,POLARIS/LORNA DANE,MAGNETO/MAGNUS/ERIC 
4391,LOCKJAW [INHUMAN],CAPTAIN AMERICA
4392,IRON MAN IV/JAMES R.,HULK/DR. ROBERT BRUC
4393,"STACY, GWEN",KINGPIN/WILSON FISK
4394,ANT-MAN/DR. HENRY J.,SERSI/SYLVIA
4395,"GYRICH, HENRY PETER",THUNDERBIRD II/JAMES
4396,"MELTON, LORRIE",THOR/DR. DONALD BLAK
4397,WONDER MAN/SIMON WIL,SCARLET WITCH/WANDA 
4398,JESTER/JONATHAN POWE,"MANOLIS, LT. NICK"
4399,MEDUSA/MEDUSALITH AM,MAGNETO/MAGNUS/ERIC 
4400,"WISDOM, PETER",DOMINO III/BEATRICE/
4401,SPIDER-MAN/PETER PAR,SHADOWCAT/KATHERINE 
4402,FERAL/MARIA CALLASAN,CANNONBALL II/SAM GU
4403,CORSAIR,"MACTAGGERT, MOIRA KI"
4404,CARGIL/JOANNA CARGIL,THENA
4405,HIGH EVOLUTIONARY/HE,NEREEL
4406,GORGON [INHUMAN],MARISTA
4407,X-MAN/NATHAN GREY ,WASP/JANET VAN DYNE 
4408,FIREBUG/,AURORA/JEANNE-MARIE 
4409,BALDER [ASGARDIAN],VOLSTAGG
4410,IRON MAN DOPPELGANGE,HUMAN TORCH/JOHNNY S
4411,PROFESSOR X/CHARLES ,JUGGERNAUT/CAIN MARK
4412,THUNDERSTRIKE/ERIC K,HERCULES [GREEK GOD]
4413,HULK/DR. ROBERT BRUC,"ROSS, GEN. THADDEUS "
4414,KARNAK [INHUMAN],TRITON
4415,HULK/DR. ROBERT BRUC,"MORGAN, JERROLD JERR"
4416,WALDO,"SUMMERS, NATHAN CHRI"
4417,SPIDER-MAN/PETER PAR,"KATZENBERG, NICK"
4418,BETA RAY BILL,"KINCAID, DR. JANE FO"
4419,MAM'SELLE HEPZIBAH,S'YM
4420,ADVA,HESCAMAR/MARNOT [ASG
4421,DOMINO III/BEATRICE/,CALIBAN/
4422,LIVING LIGHTNING/MIG,WOLFSBANE DOPPELGANG
4423,GARGOYLE II/ISAAC CH,STARSHINE II/BRANDY 
4424,CRYSTAL [INHUMAN],WOLFSBANE DOPPELGANG
4425,BLACK BOLT/BLACKANTO,MAXIMUS [INHUMAN]
4426,ZURAS,VOLSTAGG
4427,DR. SPECTRUM/JOSEPH ,CAPTAIN BRITAIN/BRIA
4428,SILVER SURFER/NORRIN,CAPTAIN AMERICA
4429,THING/BENJAMIN J. GR,MARVEL GIRL/JEAN GRE
4430,JUSTICE II/VANCE AST,ODIN [ASGARDIAN]
4431,ANT-MAN/DR. HENRY J.,"JARVIS, EDWIN "
4432,BLACK MAMBA/TANYA SE,HELLRAZOR
